start_timestamp,end_timestamp,activity,process,factory,worker,source_file,case_id,start_seconds_from_video_start,end_seconds_from_video_start,duration_seconds
2000-01-01 00:00:15,2000-01-01 00:00:50,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,15,50,35
2000-01-01 00:00:50,2000-01-01 00:01:00,rub white powder into metal component,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,50,60,10
2000-01-01 00:01:00,2000-01-01 00:01:33,apply paste with brush,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,60,93,33
2000-01-01 00:01:38,2000-01-01 00:02:22,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,98,142,44
2000-01-01 00:02:22,2000-01-01 00:02:33,rub white powder into metal component,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,142,153,11
2000-01-01 00:02:33,2000-01-01 00:03:12,apply paste with brush,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,153,192,39
2000-01-01 00:03:12,2000-01-01 00:04:09,wipe excess paste with cloth,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,192,249,57
2000-01-01 00:04:09,2000-01-01 00:04:49,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,249,289,40
2000-01-01 00:04:49,2000-01-01 00:04:59,rub white powder into metal component,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,289,299,10
2000-01-01 00:04:59,2000-01-01 00:05:37,apply paste with brush,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,299,337,38
2000-01-01 00:05:37,2000-01-01 00:06:28,wipe excess paste with cloth,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,337,388,51
2000-01-01 00:06:28,2000-01-01 00:06:58,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,388,418,30
2000-01-01 00:06:58,2000-01-01 00:07:29,apply paste with brush,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,418,449,31
2000-01-01 00:07:29,2000-01-01 00:08:09,wipe excess paste with cloth,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,449,489,40
2000-01-01 00:08:09,2000-01-01 00:08:40,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,489,520,31
2000-01-01 00:08:40,2000-01-01 00:09:18,apply paste with brush,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,520,558,38
2000-01-01 00:09:18,2000-01-01 00:10:04,wipe excess paste with cloth,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,558,604,46
2000-01-01 00:10:04,2000-01-01 00:10:22,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,604,622,18
2000-01-01 00:10:22,2000-01-01 00:10:41,apply paste with brush,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,622,641,19
2000-01-01 00:10:41,2000-01-01 00:11:07,wipe excess paste with cloth,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,641,667,26
2000-01-01 00:11:07,2000-01-01 00:11:18,apply paste with brush,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,667,678,11
2000-01-01 00:11:18,2000-01-01 00:11:30,scrape component surface with metal tool,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,678,690,12
2000-01-01 00:11:30,2000-01-01 00:11:39,apply paste with brush,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,690,699,9
2000-01-01 00:11:39,2000-01-01 00:12:00,wipe excess paste with cloth,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,699,720,21
2000-01-01 00:12:00,2000-01-01 00:12:17,apply paste with brush,Surface finishing and polishing,factory_003,worker_004,factory003_worker004_00000.csv,factory_003_worker_004,720,737,17
