start_timestamp,end_timestamp,activity,process,factory,worker
2000-01-01 00:00:14,2000-01-01 00:00:19,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:00:19,2000-01-01 00:00:30,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:00:36,2000-01-01 00:00:43,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:00:43,2000-01-01 00:00:57,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:00:57,2000-01-01 00:01:25,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:01:25,2000-01-01 00:01:46,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:01:46,2000-01-01 00:02:14,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:02:14,2000-01-01 00:02:35,push assembled molds along rail track,Mold track advancement,factory_006,worker_001
2000-01-01 00:02:35,2000-01-01 00:03:03,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:03:03,2000-01-01 00:03:14,push assembled molds along rail track,Mold track advancement,factory_006,worker_001
2000-01-01 00:03:20,2000-01-01 00:03:43,log production tally on tracking board,Manual production logging,factory_006,worker_001
2000-01-01 00:03:51,2000-01-01 00:04:14,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:04:14,2000-01-01 00:04:30,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:04:30,2000-01-01 00:04:41,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:04:45,2000-01-01 00:04:53,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:04:53,2000-01-01 00:05:08,push assembled molds along rail track,Mold track advancement,factory_006,worker_001
2000-01-01 00:05:08,2000-01-01 00:05:38,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:05:38,2000-01-01 00:05:46,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:05:53,2000-01-01 00:06:00,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:06:00,2000-01-01 00:06:07,push assembled molds along rail track,Mold track advancement,factory_006,worker_001
2000-01-01 00:06:07,2000-01-01 00:06:23,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:06:23,2000-01-01 00:06:39,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:06:48,2000-01-01 00:06:54,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:06:54,2000-01-01 00:07:03,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:07:11,2000-01-01 00:07:29,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:07:29,2000-01-01 00:07:40,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:07:54,2000-01-01 00:08:18,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:08:18,2000-01-01 00:08:24,push assembled molds along rail track,Mold track advancement,factory_006,worker_001
2000-01-01 00:08:24,2000-01-01 00:08:42,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:08:42,2000-01-01 00:08:58,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:09:06,2000-01-01 00:09:12,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:09:12,2000-01-01 00:09:24,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:09:31,2000-01-01 00:09:48,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:09:48,2000-01-01 00:09:56,push assembled molds along rail track,Mold track advancement,factory_006,worker_001
2000-01-01 00:09:56,2000-01-01 00:10:06,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:10:06,2000-01-01 00:10:14,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:10:20,2000-01-01 00:10:25,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:10:25,2000-01-01 00:10:42,push assembled molds along rail track,Mold track advancement,factory_006,worker_001
2000-01-01 00:11:00,2000-01-01 00:11:07,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:11:07,2000-01-01 00:11:15,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:11:15,2000-01-01 00:11:23,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
2000-01-01 00:11:23,2000-01-01 00:11:43,spray liquid coating into mold interior,Pattern cleaning and coating,factory_006,worker_001
2000-01-01 00:11:43,2000-01-01 00:11:53,guide upper mold half onto lower mold half,Mold assembly and closing,factory_006,worker_001
