start_timestamp,end_timestamp,activity,process,factory,worker,source_file,case_id
2000-01-01 00:00:03,2000-01-01 00:01:08,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00000.csv,factory_001_worker_001
2000-01-01 00:01:08,2000-01-01 00:01:10,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00000.csv,factory_001_worker_001
2000-01-01 00:01:10,2000-01-01 00:03:26,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00000.csv,factory_001_worker_001
2000-01-01 00:03:38,2000-01-01 00:03:41,retrieve base and clip components from bins,Material replenishment,factory_001,worker_001,factory001_worker001_00000.csv,factory_001_worker_001
2000-01-01 00:04:08,2000-01-01 00:04:14,pour raw parts onto feed tray,Material replenishment,factory_001,worker_001,factory001_worker001_00000.csv,factory_001_worker_001
2000-01-01 00:04:14,2000-01-01 00:06:58,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00000.csv,factory_001_worker_001
2000-01-01 00:06:58,2000-01-01 00:07:07,hand part to coworker for inspection,Metal stamping,factory_001,worker_001,factory001_worker001_00000.csv,factory_001_worker_001
2000-01-01 00:07:07,2000-01-01 00:09:11,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00001.csv,factory_001_worker_001
2000-01-01 00:09:53,2000-01-01 00:09:58,pour raw parts onto feed tray,Material replenishment,factory_001,worker_001,factory001_worker001_00001.csv,factory_001_worker_001
2000-01-01 00:09:58,2000-01-01 00:23:18,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00001.csv,factory_001_worker_001
2000-01-01 00:23:42,2000-01-01 00:24:02,pour raw parts onto feed tray,Material replenishment,factory_001,worker_001,factory001_worker001_00001.csv,factory_001_worker_001
2000-01-01 00:24:02,2000-01-01 00:27:07,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00001.csv,factory_001_worker_001
2000-01-01 00:27:07,2000-01-01 00:29:48,actuate machine press,Semi-automated press assembly,factory_001,worker_001,factory001_worker001_00002.csv,factory_001_worker_001
2000-01-01 00:29:48,2000-01-01 00:29:51,inspect newly stamped part,Semi-automated press assembly,factory_001,worker_001,factory001_worker001_00002.csv,factory_001_worker_001
2000-01-01 00:29:51,2000-01-01 00:37:27,actuate machine press,Semi-automated press assembly,factory_001,worker_001,factory001_worker001_00002.csv,factory_001_worker_001
2000-01-01 00:37:29,2000-01-01 00:39:42,actuate machine press,Semi-automated press assembly,factory_001,worker_001,factory001_worker001_00002.csv,factory_001_worker_001
2000-01-01 00:40:35,2000-01-01 00:40:52,retrieve base and clip components from bins,Material replenishment,factory_001,worker_001,factory001_worker001_00002.csv,factory_001_worker_001
2000-01-01 00:40:52,2000-01-01 00:40:55,pour raw parts onto feed tray,Material replenishment,factory_001,worker_001,factory001_worker001_00002.csv,factory_001_worker_001
2000-01-01 00:41:26,2000-01-01 00:47:06,actuate machine press,Semi-automated press assembly,factory_001,worker_001,factory001_worker001_00002.csv,factory_001_worker_001
2000-01-01 00:47:06,2000-01-01 00:47:36,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 00:47:36,2000-01-01 00:47:39,wipe down metal die,Workstation cleaning,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 00:47:39,2000-01-01 00:51:08,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 00:51:08,2000-01-01 00:51:20,inspect newly stamped part,Metal stamping,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 00:51:20,2000-01-01 00:54:11,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 00:54:11,2000-01-01 00:54:39,carry finished batch to consolidation point,Finished goods transport,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 00:54:39,2000-01-01 00:55:30,dump finished pieces into bulk container,Finished goods transport,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 00:55:47,2000-01-01 00:56:04,scoop raw parts into bin,Material replenishment,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 00:56:04,2000-01-01 00:56:27,pour raw parts onto feed tray,Material replenishment,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 00:56:27,2000-01-01 01:07:05,load raw metal blank into die,Metal stamping,factory_001,worker_001,factory001_worker001_00003.csv,factory_001_worker_001
2000-01-01 01:07:05,2000-01-01 09:16:05,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00004.csv,factory_001_worker_001
2000-01-01 09:16:05,2000-01-01 09:20:05,scoop raw parts into bin,Finished goods transport,factory_001,worker_001,factory001_worker001_00004.csv,factory_001_worker_001
2000-01-01 09:20:05,2000-01-01 09:26:05,input multiplication formula into smartphone,Production tracking,factory_001,worker_001,factory001_worker001_00004.csv,factory_001_worker_001
2000-01-01 09:26:05,2000-01-01 09:40:05,carry finished batch to consolidation point,Finished goods transport,factory_001,worker_001,factory001_worker001_00004.csv,factory_001_worker_001
2000-01-01 09:40:05,2000-01-01 09:44:05,hand off part to adjacent coworker,Finished goods transport,factory_001,worker_001,factory001_worker001_00004.csv,factory_001_worker_001
2000-01-01 09:51:05,2000-01-01 10:02:05,scoop raw parts into bin,Material replenishment,factory_001,worker_001,factory001_worker001_00004.csv,factory_001_worker_001
2000-01-01 10:02:05,2000-01-01 10:08:05,hand off part to adjacent coworker,Material replenishment,factory_001,worker_001,factory001_worker001_00004.csv,factory_001_worker_001
2000-01-01 10:22:05,2000-01-01 21:07:05,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00004.csv,factory_001_worker_001
2000-01-01 21:07:05,2000-01-01 21:10:31,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00005.csv,factory_001_worker_001
2000-01-01 21:10:31,2000-01-01 21:10:57,receive part from adjacent coworker,Finished goods transport,factory_001,worker_001,factory001_worker001_00005.csv,factory_001_worker_001
2000-01-01 21:10:57,2000-01-01 21:11:19,carry finished batch to consolidation point,Finished goods transport,factory_001,worker_001,factory001_worker001_00005.csv,factory_001_worker_001
2000-01-01 21:11:19,2000-01-01 21:11:27,dump finished pieces into bulk container,Component bagging,factory_001,worker_001,factory001_worker001_00005.csv,factory_001_worker_001
2000-01-01 21:11:27,2000-01-01 21:11:39,carry finished batch to consolidation point,Finished goods transport,factory_001,worker_001,factory001_worker001_00005.csv,factory_001_worker_001
2000-01-01 21:11:39,2000-01-01 21:12:01,drop loose parts into plastic bag,Component bagging,factory_001,worker_001,factory001_worker001_00005.csv,factory_001_worker_001
2000-01-01 21:12:01,2000-01-01 21:12:10,stack empty bins behind workstation,Material replenishment,factory_001,worker_001,factory001_worker001_00005.csv,factory_001_worker_001
2000-01-01 21:12:10,2000-01-01 21:12:35,wipe down metal die,Workstation cleaning,factory_001,worker_001,factory001_worker001_00005.csv,factory_001_worker_001
2000-01-01 21:12:35,2000-01-01 21:27:05,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00005.csv,factory_001_worker_001
2000-01-01 21:27:05,2000-01-01 21:34:12,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00006.csv,factory_001_worker_001
2000-01-01 21:34:28,2000-01-01 21:34:45,inspect newly stamped part,Metal stamping,factory_001,worker_001,factory001_worker001_00006.csv,factory_001_worker_001
2000-01-01 21:40:08,2000-01-01 21:40:39,carry finished batch to consolidation point,Finished goods transport,factory_001,worker_001,factory001_worker001_00006.csv,factory_001_worker_001
2000-01-01 21:40:39,2000-01-01 21:47:04,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00006.csv,factory_001_worker_001
2000-01-01 21:47:04,2000-01-01 21:54:06,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00007.csv,factory_001_worker_001
2000-01-01 21:54:06,2000-01-01 21:55:33,scoop raw parts into bin,Material replenishment,factory_001,worker_001,factory001_worker001_00007.csv,factory_001_worker_001
2000-01-01 21:55:33,2000-01-01 21:55:53,scoop raw parts into bin,Material replenishment,factory_001,worker_001,factory001_worker001_00007.csv,factory_001_worker_001
2000-01-01 21:55:53,2000-01-01 21:56:45,pour raw parts onto feed tray,Material replenishment,factory_001,worker_001,factory001_worker001_00007.csv,factory_001_worker_001
2000-01-01 21:56:45,2000-01-01 21:57:14,scoop raw parts into bin,Material replenishment,factory_001,worker_001,factory001_worker001_00007.csv,factory_001_worker_001
2000-01-01 21:57:14,2000-01-01 21:57:29,pour raw parts onto feed tray,Material replenishment,factory_001,worker_001,factory001_worker001_00007.csv,factory_001_worker_001
2000-01-01 21:57:29,2000-01-01 22:07:04,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00007.csv,factory_001_worker_001
2000-01-01 22:07:04,2000-01-01 22:09:09,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00008.csv,factory_001_worker_001
2000-01-01 22:09:13,2000-01-01 22:13:32,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00008.csv,factory_001_worker_001
2000-01-01 22:13:53,2000-01-01 22:19:03,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00008.csv,factory_001_worker_001
2000-01-01 22:19:56,2000-01-01 22:20:07,line bulk container with plastic,Material replenishment,factory_001,worker_001,factory001_worker001_00008.csv,factory_001_worker_001
2000-01-01 22:20:08,2000-01-01 22:27:03,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00008.csv,factory_001_worker_001
2000-01-01 22:27:03,2000-01-01 22:27:29,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00009.csv,factory_001_worker_001
2000-01-01 22:27:29,2000-01-01 22:27:46,carry finished batch to consolidation point,Finished goods transport,factory_001,worker_001,factory001_worker001_00009.csv,factory_001_worker_001
2000-01-01 22:27:46,2000-01-01 22:27:57,dump finished pieces into bulk container,Finished goods transport,factory_001,worker_001,factory001_worker001_00009.csv,factory_001_worker_001
2000-01-01 22:28:03,2000-01-01 22:28:17,drag unassembled metal parts closer to fixture,Material replenishment,factory_001,worker_001,factory001_worker001_00009.csv,factory_001_worker_001
2000-01-01 22:28:17,2000-01-01 22:32:07,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00009.csv,factory_001_worker_001
2000-01-01 22:32:07,2000-01-01 22:32:19,adjust plastic collection bag,Metal stamping,factory_001,worker_001,factory001_worker001_00009.csv,factory_001_worker_001
2000-01-01 22:32:19,2000-01-01 22:34:14,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00009.csv,factory_001_worker_001
2000-01-01 22:34:33,2000-01-01 22:35:14,scoop raw parts into bin,Material replenishment,factory_001,worker_001,factory001_worker001_00009.csv,factory_001_worker_001
2000-01-01 22:35:14,2000-01-01 22:41:43,actuate machine press,Metal stamping,factory_001,worker_001,factory001_worker001_00009.csv,factory_001_worker_001
